,地震編號,臺灣時間,Longitude,Latitude,magnitude,depth,震央位置
1,小區域,2月01日09時07分,120.96,22.96,3.6,5.4,臺東縣政府西北方  30.0  公里 (位於臺東縣延平鄉)
2,小區域,2月03日03時42分,119.74,22.67,4.7,30.3,臺南市政府西南方  57.5  公里 (位於臺灣西部海域)
3,小區域,2月03日12時25分,121.66,24.61,3.2,8.8,宜蘭縣政府西南方  17.2  公里 (位於宜蘭縣大同鄉)
4,第004號,2月04日03時30分,121.67,24.2,4.6,15.2,花蓮縣政府北偏東方  23.7  公里 (位於花蓮縣近海)
5,第005號,2月04日03時31分,121.67,24.2,4.3,11.2,花蓮縣政府北偏東方  24.1  公里 (位於花蓮縣近海)
6,小區域,2月04日16時40分,121.17,24.62,3.3,11.5,新竹縣政府東南方  28.1  公里 (位於新竹縣五峰鄉)
7,小區域,2月04日20時36分,121.64,24.41,3.4,23.2,宜蘭縣政府南偏西方  38.1  公里 (位於宜蘭縣南澳鄉)
8,第006號,2月04日21時12分,121.67,24.2,5.1,15.1,花蓮縣政府北偏東方  24.0  公里 (位於花蓮縣近海)
9,第007號,2月04日21時33分,121.65,24.2,4,5.1,花蓮縣政府北方  23.4  公里 (位於花蓮縣秀林鄉)
10,第008號,2月04日21時56分,121.83,24.15,5.8,16,花蓮縣政府東北方  27.8  公里 (位於臺灣東部海域)
11,小區域,2月04日21時57分,121.68,24.19,5.1,11.1,花蓮縣政府北偏東方  22.4  公里 (位於花蓮縣近海)
12,小區域,2月04日21時59分,121.74,24.21,3.8,11,花蓮縣政府北偏東方  27.5  公里 (位於花蓮縣近海)
13,小區域,2月04日22時00分,121.73,24.27,3.7,15.2,花蓮縣政府北偏東方  32.6  公里 (位於花蓮縣秀林鄉)
14,小區域,2月04日22時01分,121.77,24.22,3.9,10.6,花蓮縣政府北偏東方  29.1  公里 (位於花蓮縣近海)
15,小區域,2月04日22時02分,121.67,24.2,3.6,5,花蓮縣政府北偏東方  23.6  公里 (位於花蓮縣近海)
16,小區域,2月04日22時05分,121.73,24.26,4.7,6.5,花蓮縣政府北偏東方  32.2  公里 (位於花蓮縣秀林鄉)
17,小區域,2月04日22時07分,121.75,24.21,3.6,12.1,花蓮縣政府北偏東方  27.7  公里 (位於花蓮縣近海)
18,第009號,2月04日22時10分,121.68,24.2,4.6,5,花蓮縣政府北偏東方  24.5  公里 (位於花蓮縣近海)
19,第010號,2月04日22時12分,121.71,24.24,4.3,5,花蓮縣政府北偏東方  29.1  公里 (位於花蓮縣近海)
20,小區域,2月04日22時12分,121.75,24.24,4.1,12,花蓮縣政府北偏東方  30.5  公里 (位於花蓮縣近海)
21,第011號,2月04日22時13分,121.73,24.18,5.5,10,花蓮縣政府北偏東方  23.6  公里 (位於花蓮縣近海)
22,小區域,2月04日22時14分,121.78,24.17,4.4,23.3,花蓮縣政府東北方  25.7  公里 (位於臺灣東部海域)
23,第012號,2月04日22時16分,121.64,24.18,4.7,5,花蓮縣政府北方  21.1  公里 (位於花蓮縣秀林鄉)
24,小區域,2月04日22時22分,121.68,24.14,3.9,9.7,花蓮縣政府北偏東方  17.2  公里 (位於花蓮縣近海)
25,小區域,2月04日22時23分,121.73,24.23,3.6,11.7,花蓮縣政府北偏東方  28.9  公里 (位於花蓮縣近海)
26,小區域,2月04日22時23分,121.75,24.22,3.7,10.3,花蓮縣政府北偏東方  28.2  公里 (位於花蓮縣近海)
27,小區域,2月04日22時27分,121.73,24.22,3.5,10,花蓮縣政府北偏東方  27.6  公里 (位於花蓮縣近海)
28,小區域,2月04日22時28分,121.74,24.23,3.9,16,花蓮縣政府北偏東方  29.4  公里 (位於花蓮縣近海)
29,小區域,2月04日22時50分,121.73,24.24,3.5,11.1,花蓮縣政府北偏東方  29.4  公里 (位於花蓮縣近海)
30,小區域,2月04日22時52分,121.72,24.23,3.9,12.1,花蓮縣政府北偏東方  28.1  公里 (位於花蓮縣近海)
31,小區域,2月04日23時00分,121.69,24.23,3.7,9.2,花蓮縣政府北偏東方  27.6  公里 (位於花蓮縣秀林鄉)
32,第013號,2月04日23時33分,121.7,24.24,4.3,5,花蓮縣政府北偏東方  28.8  公里 (位於花蓮縣秀林鄉)
33,小區域,2月05日00時08分,121.67,24.14,3.5,10.7,花蓮縣政府北偏東方  17.0  公里 (位於花蓮縣近海)
34,小區域,2月05日00時18分,121.75,24.23,3.7,17.7,花蓮縣政府北偏東方  30.0  公里 (位於花蓮縣近海)
35,小區域,2月05日00時20分,121.68,24.13,3.7,10.5,花蓮縣政府北偏東方  16.8  公里 (位於花蓮縣近海)
36,小區域,2月05日00時26分,121.75,24.24,3.7,11.2,花蓮縣政府北偏東方  30.6  公里 (位於花蓮縣近海)
37,小區域,2月05日00時29分,121.8,24.19,3.7,14.7,花蓮縣政府東北方  28.7  公里 (位於臺灣東部海域)
38,小區域,2月05日00時46分,121.68,24.25,3.9,7.7,花蓮縣政府北偏東方  28.8  公里 (位於花蓮縣秀林鄉)
39,小區域,2月05日00時52分,121.7,24.2,3.4,11.3,花蓮縣政府北偏東方  24.9  公里 (位於花蓮縣近海)
40,小區域,2月05日00時53分,121.67,24.14,3.5,10.4,花蓮縣政府北偏東方  17.5  公里 (位於花蓮縣近海)
41,小區域,2月05日00時54分,121.7,24.21,3.3,10,花蓮縣政府北偏東方  25.3  公里 (位於花蓮縣近海)
42,第014號,2月05日00時54分,121.78,24.26,4.4,12.1,花蓮縣政府北偏東方  33.4  公里 (位於花蓮縣近海)
43,小區域,2月05日01時06分,121.7,24.2,3.5,10.6,花蓮縣政府北偏東方  24.6  公里 (位於花蓮縣近海)
44,小區域,2月05日01時22分,121.74,24.19,3.7,12.1,花蓮縣政府北偏東方  25.0  公里 (位於花蓮縣近海)
45,小區域,2月05日01時27分,121.75,24.23,3.9,11.9,花蓮縣政府北偏東方  29.8  公里 (位於花蓮縣近海)
46,小區域,2月05日01時41分,121.75,24.22,3.7,10.3,花蓮縣政府北偏東方  28.4  公里 (位於花蓮縣近海)
47,小區域,2月05日01時47分,121.55,24.18,3.6,10.7,花蓮縣政府北偏西方  21.6  公里 (位於花蓮縣秀林鄉)
48,小區域,2月05日01時50分,121.66,24.14,3.5,11.7,花蓮縣政府北偏東方  17.4  公里 (位於花蓮縣近海)
49,小區域,2月05日02時08分,121.7,24.12,3.6,7.2,花蓮縣政府北偏東方  16.7  公里 (位於花蓮縣近海)
50,小區域,2月05日02時10分,121.67,24.12,3.8,13.4,花蓮縣政府北偏東方  15.4  公里 (位於花蓮縣近海)
51,小區域,2月05日02時10分,121.67,24.14,3.7,10.6,花蓮縣政府北偏東方  17.6  公里 (位於花蓮縣近海)
52,小區域,2月05日02時35分,121.73,24.22,3.9,15.8,花蓮縣政府北偏東方  27.4  公里 (位於花蓮縣近海)
