"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"七五",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00355771605100147,0,0
"九二",0.000673013417900754,0,0.000554971797483606,0.000466958648984003,0.000844618432823655,0.00201105985744257,0,0.00488055773556806,0.00121489528159735,0,0,0.000652807472328676,0,0,0.000527361260295367,0,0,0.000520562864674616
"九<a6>",0.00205155754025489,0,0,0,0,0,0,0,0,0,0,0,0,0.00132020556727332,0,0.00145059624058426,0,0
"九在",0.00172216269955739,0,0,0.0011948926219396,0,0,0,0,0,0,0,0,0,0,0,0,0.00161212853004629,0.00266411909323795
"九身",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"九對",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"二二八",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137994247575225,0,0,0
"二千",0.00146666421155155,0,0,0,0,0,0,0.00265898835475532,0,0,0,0,0,0,0.00114925180755905,0.00518517650548527,0,0.00113443640672495
"二代",0.00251581349320818,0,0,0,0,0.00125293478317878,0,0,0,0,0,0,0,0,0,0,0,0
"二<a6>",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"二次大戰",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235507058056635,0
"人力",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0,0.0025502212400984,0,0,0,0,0
"人民",0.000458123112177628,0.00136387796755172,0.000215869529298359,4.54086785198089e-05,0.000985603508270593,0.000162968696031567,0,0.000118650590204278,0.000945125045180206,0.000392054644335846,0.00157671434401478,0.00190443787972224,0.00165853097731241,0.000926541125752505,0.000666671693094309,0.000323925432852868,0.00030632303191669,0.00040497070689735
"人道",0.00172216269955739,0.00276071883135154,0,0,0,0.00171535573236546,0,0,0,0,0.00207449808933299,0,0,0,0,0,0,0
"人權",0.00169165091144051,0.000903935601533098,0,0,0,0.000280827424033603,0.0012145186030855,0,0.0101789882923355,0,0,0.00164086231594692,0.000571595641838307,0.000362866896223195,0.000883698237319671,0.00199352801011508,0,0.000436153089505841
"入學",0.00661892857371796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"八十多<a6>",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"八<a6>",0.00146666421155155,0,0,0.00101761944193555,0,0.00365216779951571,0,0,0,0,0,0,0,0.000943818644818667,0,0.00311110590329116,0,0
"八百壯士",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"力量",0.0013927678588599,0,0,0,0.000582631972829837,0,0.00299980769600593,0.00168334532581628,0,0.000927040413187252,0,0.000450317552518211,0.00094121078153042,0.000896265322861833,0.00109134794910663,0.000328261784916474,0.00130377971928935,0.000359093002284319
"十二<a6>",0.00205155754025489,0,0,0,0,0,0,0,0,0,0.0024712834614925,0,0,0,0,0.00145059624058426,0,0
"十大建<b3>",0.00661892857371796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"十五項",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"十六個",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"十<a6>",0.00880534722622865,0,0,0.000872776707445571,0,0.00062646739158939,0,0,0,0,0.00151526051694183,0,0,0.000809480337446964,0,0.000889429012750368,0,0
"三十八<a6>",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177885802550074,0,0
"三十五<a6>",0.00251581349320818,0,0,0,0,0.00125293478317878,0,0,0,0,0,0,0,0,0,0,0,0
"三民主義",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197134639393179,0,0,0
"三<a6>",0.000928511905906597,0.00446536260092486,0,0.000644231828988058,0,0.000462420949186685,0.00199987179733729,0,0.0016761103172526,0,0,0.00540381063021853,0.00094121078153042,0,0,0,0,0
"三百萬",0.000673013417900754,0,0.000554971797483606,0,0,0,0,0,0.00364468584479205,0,0.00162140899914904,0.00195842241698603,0.000682217945740105,0.0030316539049462,0.0015820837808861,0.0023793403663158,0,0.000520562864674616
"三歲",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0.00244028098648369,0,0,0,0,0,0
"上成",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"大家",0.00040458333676741,0.000864758277060114,0.000778452231738342,0.000374284144146063,0.000507744028214081,0.000335820160953187,0.000580940175871153,0,0,0.000538589544983557,0.000812261001158281,0.000261624328625577,0.00027341110449286,0.000347139941659474,0.000422699008562966,0.000572138051994318,0.00126244429006176,0.000312937387554903
"大部分",0.00251581349320818,0,0,0.00174555341489114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"大陸",0.00281941818573419,0.000903935601533098,0.00139494774110932,0.00273868594693563,0.00141532546375501,0.00224661939226882,0,0.00204458527425904,0,0,0.00271699190365207,0.000546954105315639,0,0,0,0,0.00105571082140418,0.00348922471604673
"大幅",0.000793650793650794,0,0,0.000550660792951542,0.00099601593625498,0.00237154150197628,0,0,0,0,0,0.00153964588144727,0.00080450522928399,0,0.000621890547263682,0,0.000742942050520059,0.000613873542050338
"大道",0.00205155754025489,0,0,0.00142343750039711,0,0.00102172430858544,0,0,0,0,0,0,0,0,0,0,0,0
"子女",0.00205155754025489,0,0.00338345877057743,0,0,0.00102172430858544,0,0,0,0,0,0,0,0,0,0,0,0
"已有",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0,0,0.00161896067489393,0,0,0,0
"已經",0.000835029859789822,0.000334649371289814,0.000172142935755101,0.00101389914142982,0.000261986459993819,0.00187139102964754,0.00044963146296375,0,0.000753680245942102,0.00125055977417018,0.00100586770873344,0.000202489919810465,0,0.000403014922115108,0.000163578610593155,0,0.000586257962482453,0.00129175889912238
"不武",0.00172216269955739,0,0,0,0.00216127988191465,0.000857677866182732,0,0,0,0,0,0,0,0,0,0,0,0.00133205954661898
"不是",0.000928511905906597,0.000744227100154143,0,0.000644231828988058,0.00116526394565967,0.00138726284756005,0,0,0,0,0.000559237572391163,0.0040528579726639,0.00047060539076521,0.000896265322861833,0.00109134794910663,0.00262609427933179,0,0.00107727900685296
"不畏<c1>",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"不統",0.00172216269955739,0,0,0,0.00216127988191465,0.000857677866182732,0,0,0,0,0,0,0,0,0,0,0,0.00133205954661898
"不僅",0.000745214735398762,0,0.00061450953311678,0.000517054276763458,0,0.000371134611305312,0.000802538945814052,0,0,0.00223210118843686,0.000448838702964838,0.000722841082834827,0.00188851682743854,0.000239777979214106,0.00029196845976444,0,0.0003488003590648,0.000288204593800626
"不獨",0.00172216269955739,0,0,0,0.00216127988191465,0.000857677866182732,0,0,0,0,0,0,0,0,0,0,0,0.00133205954661898
"中山",0.00661892857371796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"中心",0.00185702381181319,0,0,0.00193269548696417,0,0.000462420949186685,0,0.00168334532581628,0,0,0,0,0,0.000597510215241222,0.000727565299404423,0.000656523569832948,0.000869186479526235,0
"中原",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"中國",0.00149042947079752,0.000597309520739466,0.00092176429967517,0.000775581415145188,0,0.000185567305652656,0.000802538945814052,0.000675518393239166,0,0,0.000448838702964838,0.000361420541417413,0,0.00287733575056928,0.00350362151717328,0.00948455117780243,0,0.000576409187601253
"中華",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177885802550074,0,0
"中華文化",0.0201265079456655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194593308866931
"中華民族",0.00344432539911478,0,0.00142010798523712,0,0.00216127988191465,0,0,0,0,0,0,0,0,0,0,0,0,0.00133205954661898
"之爭",0.00992839286057693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"互信",0.00172216269955739,0,0,0,0,0.000857677866182732,0,0,0,0,0.00207449808933299,0,0,0,0,0,0,0.00266411909323795
"五<b0>",0.00146666421155155,0,0,0.00101761944193555,0.00184063436907864,0.000730433559903142,0,0,0,0.00585735945025341,0,0,0,0,0,0,0,0
"五歲",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177885802550074,0,0
"仁政",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"仁義",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"今<a6>",0.000745214735398762,0,0.00061450953311678,0.0018096899686721,0.000467614824005199,0,0.000802538945814052,0.00135103678647833,0,0,0,0.000361420541417413,0.000755406730975415,0.000239777979214106,0.000583936919528881,0.000263459754938956,0.000697600718129599,0.00201743215660438
"元旦",0.000372607367699381,0.000597309520739466,0,0.000517054276763458,0.000467614824005199,0.000371134611305312,0.000802538945814052,0.000675518393239166,0.000672615019056189,0.000744033729478954,0.000448838702964838,0.000361420541417413,0,0,0.000583936919528881,0.000263459754938956,0,0
"內戰",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"六十多<a6>",0.00661892857371796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"公平",0.000793650793650794,0,0.000654450261780105,0,0,0.000395256916996047,0,0,0,0.00158478605388273,0,0.00307929176289453,0,0.00357507660878447,0.000621890547263682,0.000561167227833895,0,0.000613873542050338
"公正",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"公正廉明",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"公民",0.00146666421155155,0,0,0,0.00368126873815727,0,0,0,0.00264756003804434,0,0,0.00142263041305231,0,0,0.00114925180755905,0,0,0
"公<a6>",0.0010814048249085,0,0,0.000750313920366029,0.00271428302666277,0,0,0.00196053248832332,0,0,0.00130264825945001,0,0,0,0,0,0.00303693182626607,0.0016728914418474
"公義",0.00158730158730159,0.00127226463104326,0,0,0,0.000395256916996047,0.00341880341880342,0.00143884892086331,0,0,0,0.000769822940723634,0,0.000510725229826353,0.00248756218905473,0.000561167227833895,0,0
"分階段",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235507058056635,0
"切實",0.00251581349320818,0,0,0,0,0,0,0.00912208633508579,0,0,0,0,0,0,0,0,0,0
"升格",0.00205155754025489,0,0,0,0,0.00204344861717087,0,0,0,0,0,0,0,0,0,0,0,0.00158684008638499
"升級",0.002162809649817,0,0,0,0,0.00107713049753732,0,0.00196053248832332,0,0,0,0,0,0.000695898916948268,0.000847369452353674,0.000764629674177726,0,0.000836445720923701
"升<b0>",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"反而",0.00146666421155155,0,0.00120942205926371,0.00101761944193555,0,0,0,0,0,0,0,0,0,0.000943818644818667,0,0.00103703530109705,0,0
"反抗",0.00251581349320818,0.0040329834623948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"手中",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194593308866931
"支持",0.000673013417900754,0,0,0.000466958648984003,0,0.000335176642907095,0.00144956736163239,0,0,0,0.000810704499574522,0.00195842241698603,0.00136443589148021,0.000866186829984627,0.00105472252059073,0,0,0.00260281432337308
"文化",0.00169165091144051,0.00451967800766549,0,0.000782481699124466,0,0.000280827424033603,0,0.00102229263712952,0.00101789882923355,0.0022519600088907,0.000679247975913016,0.00164086231594692,0,0,0,0,0.00158356623210627,0.000872306179011682
"文化交流",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"文明",0.00172216269955739,0.00828215649405463,0,0,0,0,0.003709273506739,0.00624438849335917,0,0,0,0,0,0,0,0,0,0
"文盲",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"文革",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"方式",0.000793650793650794,0.00127226463104326,0,0.000550660792951542,0.00298804780876494,0.000395256916996047,0.00170940170940171,0,0.00143266475644699,0,0,0,0,0,0,0.00168350168350168,0,0.00184162062615101
"方面",0.000130892317765036,0.00010491368981167,0.000161902146973769,0.00040867810667828,0.000164267251378432,0.000162968696031567,0.000986726703151813,0.000237301180408555,0.000118140630647526,0,7.8835717200739e-05,6.3481262657408e-05,6.63412390924964e-05,8.42310114320459e-05,0.000205129751721326,0.000185100247344496,0.000245058425533352,0.000101242676724338
"日本",0.0010814048249085,0.00173354971931897,0.00267520303544118,0.00600251136292823,0,0.00969417447783587,0,0,0,0,0,0,0,0.000695898916948268,0,0.00305851869671091,0,0
"日益",0.00125790674660409,0,0,0,0,0,0.00812801282421106,0.00684156475131434,0.00454143983014658,0,0,0,0,0,0,0,0.00235507058056635,0.000972966544334657
"父母",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"父老鄉親",0.0010814048249085,0.00173354971931897,0.00267520303544118,0.000750313920366029,0.00135714151333138,0.000538565248768659,0,0,0,0,0,0,0,0,0,0,0.00101231060875536,0
"片面",0.00146666421155155,0,0,0,0,0,0,0,0,0,0.00176672744412519,0,0.00297344635004819,0.000943818644818667,0,0.00103703530109705,0,0
"王道",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"主張",0.000563883637146837,0,0.000464982580369774,0,0.000707662731877505,0.000561654848067206,0,0.00102229263712952,0.00101789882923355,0,0,0,0.00114319128367661,0.000725733792446389,0.000441849118659835,0.00159482240809207,0,0.000872306179011682
"主權",0.00158730158730159,0,0.000654450261780105,0,0.00099601593625498,0.00158102766798419,0,0,0,0,0,0.00153964588144727,0,0.000510725229826353,0,0.000561167227833895,0.00148588410104012,0.00122774708410068
"代工",0.00205155754025489,0,0.00338345877057743,0,0,0,0,0,0,0,0,0.00198996343396548,0,0,0,0,0,0
"代表權",0.00205155754025489,0,0,0,0,0.00102172430858544,0,0,0,0,0,0,0,0,0,0.00145059624058426,0,0
"充分",0.00146666421155155,0,0.00120942205926371,0,0,0,0.0063179381420682,0,0,0,0,0,0.00297344635004819,0,0.00114925180755905,0,0,0
"充滿",0.000928511905906597,0.00297690840061657,0.000765657723457011,0,0.00116526394565967,0.000462420949186685,0,0,0.00335222063450519,0,0,0,0,0.00119502043048244,0,0,0,0.000718186004568639
"出<b0>",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194593308866931
"可以",0.000417514929894911,0,0.000688571743020403,0.000869056406939847,0.000261986459993819,0.00124759401976503,0.00044963146296375,0,0,0.000416853258056726,0.0012573346359168,0.000809959679241859,0.00105806277487447,0.000806029844230216,0.000654314442372621,0.000590425153386743,0.000195419320827484,0.00129175889912238
"司改",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"司法",0.00185702381181319,0,0,0,0,0,0.00999935898668643,0.00168334532581628,0.0016761103172526,0.0018540808263745,0.0044739005791293,0.00180127021007284,0,0,0,0,0,0.000718186004568639
"只有",0.000563883637146837,0,0,0.000782481699124466,0.000707662731877505,0.00112330969613441,0,0,0,0.0022519600088907,0.000679247975913016,0,0.00285797820919153,0.00108860068866958,0.00132554735597951,0.000797411204046033,0,0.000872306179011682
"只是",0.000928511905906597,0.00148845420030829,0,0.000644231828988058,0,0,0,0,0,0.0018540808263745,0,0.00360254042014569,0,0.000597510215241222,0,0.00196957070949884,0,0.00215455801370592
"只要",0.000130892317765036,0,0.000107934764649179,4.54086785198089e-05,0.000246400877067648,3.25937392063134e-05,0.000140960957593116,0.000118650590204278,0.000236281261295051,0.000130684881445282,7.8835717200739e-05,0.000126962525314816,0.000265364956369985,0.000126346517148069,0.000153847313790994,0.000138825185508372,0.000122529212766676,0.000101242676724338
"失去",0.00146666421155155,0,0,0,0,0.000730433559903142,0,0,0,0,0,0,0,0,0,0.00207407060219411,0.00274590922222132,0.00113443640672495
"失利",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"巨大",0.00251581349320818,0,0.00207455824701722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"平反",0.00205155754025489,0,0,0,0,0,0,0,0,0,0,0.00198996343396548,0,0,0.00160756374422957,0,0,0
"平等",0.00125790674660409,0,0,0.000872776707445571,0,0,0,0,0,0,0,0.00122014049324184,0,0,0.000985673196965893,0.000889429012750368,0,0.000972966544334657
"幼兒",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"打造",0.00516648809867217,0,0,0,0,0.000857677866182732,0,0,0,0,0,0,0,0.00110823544506758,0,0,0.00322425706009259,0
"本<a5>",0.00251581349320818,0,0,0,0,0.00125293478317878,0,0,0,0,0,0,0,0,0,0,0,0
"正是",0.00146666421155155,0,0.00120942205926371,0.00101761944193555,0,0,0,0.00265898835475532,0,0,0.00176672744412519,0,0,0,0,0,0,0
"民主",0.00161833334706964,0.00108094784632514,0,0,0.000338496018809387,0.000201492096571912,0.00464752140696923,0.00317845326438858,0.00048689112161121,0.000538589544983557,0.000974713201389937,0.00235461895763019,0.000820233313478579,0.000781064868733816,0.00211349504281483,0.00152570147198485,0.000378733287018527,0.000521562312591505
"民國",0.0032442144747255,0.0104012983159138,0,0.00450188352219617,0,0.00484708723891793,0,0.00196053248832332,0,0,0,0,0.0010961947541309,0,0,0,0.00101231060875536,0
"民國初<a6>",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"民眾",0.000208757464947455,0.000334649371289814,0.0010328576145306,0.000289685468979949,0.000261986459993819,0.000519830841568762,0.00044963146296375,0.00113540031295163,0,0.0016674130322269,0.00100586770873344,0,0.000846450219899578,0.000268676614743405,0.000817893052965777,0,0.000390838641654968,0.000484409587170891
"民營企<b7>",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"永續",0.000673013417900754,0,0.00110994359496721,0,0.000844618432823655,0.000335176642907095,0,0.00122013943389201,0,0,0,0.0026112298893147,0.000682217945740105,0.00259856048995388,0.00105472252059073,0.000475868073263159,0,0
"生<a8>",0.00251581349320818,0,0,0,0,0.00375880434953634,0,0,0,0,0,0,0,0,0,0,0,0
"生來",0.00205155754025489,0,0.00169172938528871,0,0.0025746638453398,0,0,0,0,0,0,0,0,0,0,0,0,0
"生活",0.00278553571771979,0.00148845420030829,0,0.000322115914494029,0.000582631972829837,0.000462420949186685,0.00199987179733729,0.00252501798872442,0,0.0018540808263745,0.00111847514478233,0.000900635105036422,0,0.000896265322861833,0,0,0,0.00215455801370592
"生機",0.00410311508050977,0,0.00169172938528871,0.00142343750039711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"白色恐怖",0.00251581349320818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197134639393179,0,0,0
"交流",0.000673013417900754,0,0.00110994359496721,0,0.00168923686564731,0.00067035328581419,0,0.00122013943389201,0.00121489528159735,0,0.000810704499574522,0,0,0,0.000527361260295367,0,0.000630012560590602,0.00104112572934923
"件數",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"任何",0.000928511905906597,0,0,0,0.00116526394565967,0.000924841898373369,0.00199987179733729,0,0,0,0,0,0.00094121078153042,0.00179253064572367,0,0.00328261784916474,0,0.00143637200913728
"先生",0.0032442144747255,0.00173354971931897,0.00089173434514706,0,0,0.00107713049753732,0.00698753886863953,0.00392106497664664,0,0,0,0,0,0,0,0,0.00202462121751071,0
"先烈",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"先進",0.00317460317460317,0,0.000654450261780105,0.00110132158590308,0.00099601593625498,0,0,0,0,0,0,0,0.00080450522928399,0.000510725229826353,0,0.00168350168350168,0.000742942050520059,0.00306936771025169
"先賢",0.00503162698641637,0.0040329834623948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"全力",0.00158730158730159,0,0.00261780104712042,0.000550660792951542,0,0,0,0.00143884892086331,0,0,0,0.000769822940723634,0,0,0.00124378109452736,0.000561167227833895,0.000742942050520059,0.000613873542050338
"全方位",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"全<a5>",0.00158730158730159,0,0.00130890052356021,0,0,0,0,0,0.00143266475644699,0,0,0.000769822940723634,0.00080450522928399,0.000510725229826353,0.00186567164179104,0,0.000742942050520059,0.000613873542050338
"全民",0.000626272394842366,0,0.000516428807265302,0.000434528203469924,0.00104794583997527,0.000103966168313752,0.00044963146296375,0.0015138670839355,0.000376840122971051,0.000833706516113451,0,0,0.000423225109949789,0.000268676614743405,0.000490735831779466,0.000147606288346686,0.000195419320827484,0.000484409587170891
"全面",0.000745214735398762,0,0.00122901906623356,0.000517054276763458,0.000467614824005199,0.000371134611305312,0.000802538945814052,0,0,0,0,0.00108426162425224,0.00151081346195083,0.000239777979214106,0.00029196845976444,0.000263459754938956,0.0013952014362592,0.000288204593800626
"全國",0.00238095238095238,0.00254452926208651,0.000654450261780105,0.000550660792951542,0.00099601593625498,0.000395256916996047,0,0,0,0,0,0,0,0,0.000621890547263682,0,0.00222882615156018,0.00122774708410068
"全球",0.00167005971957964,0.000334649371289814,0.00241000110057141,0.00101389914142982,0.000261986459993819,0.00207932336627505,0,0,0.00113052036891315,0,0.0012573346359168,0.000607469759431394,0.000423225109949789,0.000268676614743405,0.000981471663558932,0.000295212576693371,0.00195419320827484,0.000968819174341782
"再生",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"再造",0.00146666421155155,0,0,0,0,0,0.0063179381420682,0.00531797670951065,0,0,0,0,0,0,0,0,0.00274590922222132,0.00226887281344991
"列強",0.00330946428685898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"同胞",0.00186303683849691,0,0,0,0.000467614824005199,0.000185567305652656,0.0016050778916281,0.00405311035943499,0.00470830513339333,0.00297613491791582,0.00179535481185935,0.00108426162425224,0.00151081346195083,0.00263755777135517,0.00204377921835108,0.000790379264816869,0,0
"同時",0.000626272394842366,0,0.000688571743020403,0.000289685468979949,0.000523972919987637,0.000207932336627505,0,0.000378466770983876,0.000753680245942102,0,0.000502933854366719,0.000607469759431394,0.000211612554974894,0.000671691536858513,0.00114505027415209,0.000738031441733428,0.000781677283309937,0.000322939724780594
